Pharos 100, PP 1
angle(deg)	Power(mW)
0	1
5	16
10	50
15	98
20	154
25	215
30	269
35	311
40	338
42	343
43	344
44	345
45	344
46	343
47	340
50	330
55	298
60	249
65	191
70	132
75	78
80	32
85	6
90	0
92	4
95	13
120	269
125	311
140	330
180	0

WPG at max (44 deg)
Pharos Attenuator	Power green (mw)
100	345
95	326
90	303
85	279
80	256
75	231
70	207
65	185
60	162
55	140
50	120
45	100
40	81
35	64
30	49
25	34
20	22
15	13

WPG at max (20 deg)
Pharos Attenuator	Power green (mw)
100	154
95	146
90	136
85	125
80	114
75	103
70	93
65	82
60	72
55	62
50	52
45	44
40	35
35	28
30	20
25	14
20	9
15	5

WPG at max (44 deg), Pharos 100
Pharos PP	Power green (mw)
1	344
2	172
3	114
4	85
5	68
6	56
7	48
8	42
9	37
10	33
20	16

	
